season,away_team_api_id,home_team_api_id,H_overall_rating,A_overall_rating,H_potential,A_potential,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
2010/2011,8559,10261,825,827,867,895,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,1
2010/2011,8483,8602,785,781,853,813,2,1,2,2,2,2,2,2,2,3,2,3,1,1,2,2,1,2,2,2,3,2,2
2010/2011,10260,8528,795,824.5299233,865,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2010/2011,8650,8654,809,868,884,928,2,1,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,9879,8456,871,841,953,893,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8659,10194,808,798,872,853,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,10260,8455,897,824.5299233,965,874.6768998,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,3,1,2,3,2,2
2010/2011,8472,9825,867,814,949,863,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,10194,8654,811,792,895,857,2,1,2,2,1,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
2010/2011,8668,10261,827,846,871,891,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2010/2011,8528,8456,866,786,951,870,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8655,9879,837,801,893,882,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8659,8658,826,792,884,843,2,1,2,2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,10252,8559,831,839,895,912,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,10260,8650,869,824.5299233,932,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,2
2010/2011,8586,8602,778,871,849,905,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,1
2010/2011,8455,8483,776,914,820,965,3,1,1,2,2,1,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
2010/2011,8658,8668,841,815,905,875,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,1,3,2,1
2010/2011,8559,10260,875,834,950,892,2,1,2,2,2,2,3,1,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2010/2011,8654,8586,873,818,919,890,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,1,2,2,2,2,3,2,1
2010/2011,8602,10252,822,772,912,850,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,9879,8668,839,841,903,893,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8483,8655,826,803,891,841,2,1,2,2,2,2,2,2,2,3,2,3,1,1,2,2,1,2,2,2,3,2,1
2010/2011,9825,8659,788,873,849,943,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,1
2010/2011,10261,10194,810,822,872,865,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8658,8528,795,815,876,878,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,3,2,2
2010/2011,8650,8472,823,874,888,928,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2010/2011,8456,8455,895,870,961,950,2,1,2,1,2,2,3,1,2,3,2,3,1,2,2,3,2,3,1,2,3,2,2
2010/2011,8655,9825,872,823,947,894,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,10260,8654,810,870,889,926,2,1,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
2010/2011,10252,8668,834,860,884,921,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2010/2011,8602,10261,799,772,859,850,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2010/2011,8559,8658,820,824.5299233,876,874.6768998,2,1,2,2,2,2,2,2,1,3,2,2,1,3,2,2,3,2,2,2,3,2,2
2010/2011,8650,8659,823.5613065,868,874.9220714,926,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
