season,away_team_api_id,home_team_api_id,H_overall_rating,A_overall_rating,H_potential,A_potential,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
2011/2012,10252,10194,809,838,864,912,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8668,8472,823,855,892,900,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,1
2011/2012,8456,8659,791,885,857,963,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,1
2011/2012,8602,9825,871,760,945,853,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8586,9850,755,878,801,918,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
2011/2012,10172,10003,823.5613065,779,874.9220714,857,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10261,8650,852,815,914,875,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10172,9825,867,791,949,867,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8602,8559,823.5613065,766,874.9220714,846,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10252,8455,864,829,941,906,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8655,10260,823.5613065,764,874.9220714,856,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9879,9850,745,783,801,880,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8528,10194,814,786,868,863,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8586,10003,823.5613065,876,874.9220714,924,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,1
2011/2012,8456,8472,815,881,873,931,3,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,2
2011/2012,8668,8659,793,848,835,867,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10003,10252,817,783,867,856,3,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,3
2011/2012,10194,8655,776,825,831,863,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,3
2011/2012,9825,9879,826,872,869,924,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,1,1,2,3,2,2
2011/2012,9850,10172,785,824.5299233,815,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,8455,8602,781,901,845,932,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8650,8456,899,875,947,907,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8659,8586,877,824.5299233,924,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8472,8528,783,813,833,869,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,3
2011/2012,8559,8668,836,776,864,831,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10260,10261,829,896,886,939,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8668,8586,870,843,923,874,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8668,10252,822,836,869,862,3,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,9879,8655,798,814,850,868,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8472,8455,878,818,930,870,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10194,8650,864,827,904,860,2,1,2,2,2,3,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,1
2011/2012,8559,10260,872,770,916,826,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8602,8586,883,769,928,847,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,1
2011/2012,9850,8659,823.5613065,783,874.9220714,826,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,10172,10261,827,764,873,785,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9825,10003,793,851,875,907,1,1,1,2,2,2,2,1,2,3,2,1,1,1,2,2,2,1,1,2,3,2,2
2011/2012,8456,8528,789,878,845,931,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
2011/2012,8650,8559,784,880,829,903,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8655,8668,825,809,865,862,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10261,9879,828,827,865,884,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8455,9850,777,905,821,931,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8528,10172,783,778,801,837,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8659,10194,811,824.5299233,856,874.6768998,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10003,8472,818,796,871,889,3,1,2,2,2,3,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,2
2011/2012,10252,8602,795,834,856,879,3,1,3,2,2,3,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10260,9825,874,885,926,937,1,1,1,2,2,2,1,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8586,8456,884,902,934,933,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10194,10260,861,829,901,876,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8455,10003,800,894,883,925,1,1,1,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8528,8586,880,787,922,843,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8650,8602,785,869,848,899,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,8456,8668,834,896,865,950,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,2
2011/2012,9825,8559,784,890,829,932,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,1,1,2,3,2,1
2011/2012,9850,8472,813,778,869,820,3,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10172,10252,827,777,870,801,3,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10261,8655,806,821,863,878,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,8659,9879,821,824.5299233,860,874.6768998,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8655,9825,871,810,916,871,1,1,1,2,2,2,1,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9879,8456,881,823,932,856,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8559,9850,772,771,808,837,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8602,10172,816,783,840,858,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,3
2011/2012,8472,10194,811,793,852,862,3,1,3,2,2,3,2,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,3
2011/2012,10003,8659,792,798,832,877,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,3
2011/2012,8668,8528,787,837,843,869,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10260,8455,882,879,929,928,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10252,10261,815,831,876,870,2,1,2,2,2,3,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8586,8650,865,880,911,915,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10172,8655,797,802,863,841,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8528,8559,783,785,825,846,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8455,8668,840,907,868,931,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10194,9879,839,830,869,874,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8650,10260,868,881,913,911,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,9825,8472,813,890,869,925,3,1,2,2,2,3,2,2,2,3,2,1,1,1,2,2,2,1,1,2,3,2,3
2011/2012,9850,10003,797,767,885,808,1,1,1,2,2,2,2,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,10261,8586,871,824,908,882,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8456,10252,827,876,856,927,3,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
2011/2012,8659,8602,807,803,856,838,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8559,8455,888,774,936,845,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8655,8456,892,768,940,848,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8602,10261,840,775,899,843,2,1,2,2,2,3,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,1
2011/2012,9879,10172,803,841,842,867,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8472,8659,793,797,826,864,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10252,8528,789,818,847,867,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8586,9825,868,889,917,919,1,1,1,2,2,2,1,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10260,9850,767,872,805,921,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10003,10194,811,799,858,867,3,1,3,2,2,3,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,2
2011/2012,10252,8655,793,818,855,863,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,1
2011/2012,9825,8650,855,884,904,926,2,1,2,2,2,3,2,2,2,3,2,1,1,1,2,2,2,1,1,2,3,2,3
2011/2012,8559,8456,880,756,925,840,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8668,10172,802,843,836,858,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,9850,10194,813,766,867,823,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8455,8659,793,909,826,933,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10003,8528,787,798,840,877,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,3
2011/2012,8602,9879,836,779,860,848,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8472,10261,840,819,899,873,2,1,2,2,2,3,2,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,1
2011/2012,10260,8586,862,895,909,943,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9879,10252,816,835,863,862,3,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10172,8559,788,809,843,844,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10194,8455,891,796,926,867,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8586,8668,835,890,870,921,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8650,8472,806,856,858,896,3,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8655,8602,790,797,849,883,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8659,10260,879,804,932,850,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8528,9850,770,786,804,851,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8456,10003,797,881,879,936,1,1,1,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,1,2,3,2,2
2011/2012,10261,9825,863,833,923,891,1,1,1,2,2,2,1,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8668,8650,869,845,918,885,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10003,9879,832,792,866,862,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,3
2011/2012,8659,8528,788,796,841,841,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,9850,10261,834,758,885,811,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10260,8602,783,863,844,915,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8472,8655,793,810,869,858,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,2
2011/2012,9825,8668,836,866,865,915,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,1,1,2,3,2,3
2011/2012,8455,8456,893,903,944,933,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8650,10172,811,884,854,913,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10194,8586,880,803,915,858,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,1
2011/2012,10252,9825,867,816,925,861,1,1,1,2,2,2,1,1,2,3,2,3,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8655,8559,788,797,843,883,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8586,8455,889,896,930,929,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8528,8650,853,787,905,843,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8602,9850,823.5613065,777,874.9220714,850,2,1,2,2,2,3,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8456,10194,820,890,866,944,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,1
2011/2012,10172,8472,806,800,861,836,3,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8668,10003,797,845,879,857,1,1,1,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10261,8659,796,838,830,886,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,9879,10260,870,832,920,867,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8455,10252,794,905,867,930,3,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8659,8668,840,800,872,831,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9850,9879,839,772,869,827,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8472,8456,893,807,944,865,2,1,2,2,2,2,2,1,2,3,2,3,1,2,2,2,3,2,2,2,3,2,1
2011/2012,9825,10172,796,866,835,922,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,1,1,2,3,2,2
2011/2012,10194,8528,788,815,841,865,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8559,8602,788,772,848,841,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8650,10261,831,853,887,912,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10003,8586,876,794,926,873,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,2
2011/2012,10260,8655,790,859,855,916,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10261,10003,799,835,869,893,1,1,1,2,2,2,2,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,9879,8559,784,829,848,867,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8528,8455,872,783,926,848,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10252,8650,845,788,896,840,2,1,2,2,2,3,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8668,9850,766,840,813,862,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8602,10194,816,768,866,835,3,1,3,2,2,3,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8586,8472,801,889,861,920,3,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8655,8659,795,807,841,872,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8456,9825,877,884,917,937,1,1,1,2,2,2,1,1,2,3,2,2,1,2,2,2,2,2,1,2,3,2,2
2011/2012,10172,10260,869,787,919,829,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10194,10252,792,802,863,861,3,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,1
2011/2012,8472,8668,827,796,861,855,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,2
2011/2012,8455,9879,821,882,863,914,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8559,10261,834,778,892,833,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9850,8586,863,765,912,813,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,8650,8655,791,820,860,882,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,8659,8456,898,824.5299233,945,874.6768998,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10003,10172,798,796,836,873,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,2
2011/2012,10260,8528,788,886,841,936,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9825,8602,780,861,841,909,3,1,3,2,2,3,2,2,2,3,2,1,1,1,2,2,2,1,1,2,3,2,3
2011/2012,8456,9850,755,892,801,942,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
2011/2012,8602,8472,802,747,864,834,3,1,2,2,2,3,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,1
2011/2012,8655,10003,799,797,883,862,1,1,1,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10172,8659,799,798,845,830,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10252,10260,869,804,919,880,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8528,9825,863,783,911,848,1,1,1,2,2,2,1,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8455,9825,861,881,928,916,1,1,1,2,2,2,1,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8472,10252,801,813,867,867,3,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,1
2011/2012,9850,8655,792,764,847,818,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10003,8559,791,798,841,877,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,1
2011/2012,8528,9879,835,783,859,848,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10194,10261,844,806,903,873,2,1,2,2,2,3,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8586,10172,796,898,835,927,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8659,8650,864,810,912,856,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8668,10260,872,842,920,858,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8456,8602,777,895,836,942,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
2011/2012,8559,10252,794,776,850,842,3,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,9879,8668,832,830,862,867,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8650,9850,763,877,816,907,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,9825,10194,816,864,866,915,3,1,3,2,2,3,2,2,2,3,2,1,1,1,2,2,2,1,1,2,3,2,1
2011/2012,8559,8472,802,774,858,841,3,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8602,10003,794,799,872,834,1,1,1,2,2,2,2,1,2,3,2,3,1,3,2,2,3,2,2,2,3,2,1
2011/2012,10252,8659,806,814,856,868,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10261,8528,788,847,841,902,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10172,8455,889,795,920,819,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8655,8586,873,796,924,861,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10260,8456,898,879,943,921,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,9879,8650,817,829,880,863,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8668,10194,819,842,861,868,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8586,8559,793,890,839,927,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,10261,8455,867,839,915,897,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
2011/2012,9850,9825,866,824.5299233,924,874.6768998,1,1,1,2,2,2,1,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,1
2011/2012,8586,10252,812,890,856,927,3,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8659,8559,793,786,839,831,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8472,9879,833,807,860,861,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10003,10260,885,793,938,869,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,1,2,3,2,2
2011/2012,8456,10261,836,895,898,942,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
2011/2012,10194,10172,793,818,824,848,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,3,2,2
2011/2012,8668,8602,784,846,831,858,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,8528,8655,799,783,854,848,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8455,8650,864,848,914,894,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8655,8455,835,775,894,858,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10261,8668,836,839,868,897,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,10172,8456,898,803,943,827,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
2011/2012,10252,9850,823.5613065,811,874.9220714,865,2,1,2,2,2,3,2,2,2,3,2,3,1,2,2,2,2,2,2,2,3,2,2
2011/2012,8559,10194,821,764,855,824,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,1
2011/2012,10260,8472,810,877,863,925,3,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
2011/2012,8650,10003,799,868,883,901,1,1,1,2,2,2,2,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
2011/2012,9879,8586,869,825,923,864,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
