away_team_api_id,home_team_api_id,H_overall_rating,A_overall_rating,H_potential,A_potential,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
8668,9879,830,860,884,910,2,1,3,2,3,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,2,2,1
8528,8658,840,795,890,867,3,1,3,2,3,3,3,2,3,2,3,3,1,3,2,3,3,2,2,2,2,2,1
8655,8483,739,810,802,868,3,1,3,2,3,3,2,2,3,2,3,2,1,3,2,2,3,2,2,2,2,2,3
8634,8315,814,925,868,970,2,1,2,2,2,3,2,2,1,2,2,2,1,1,1,2,2,3,1,3,1,3,3
10267,9869,805,852,845,904,3,1,2,2,2,2,3,2,3,2,2,1,1,1,1,2,2,3,2,2,3,2,3
8633,8581,817.8481077,902,868.4805294,964,1,1,1,2,2,2,3,2,1,3,2,2,1,1,1,3,2,3,1,2,3,2,1
10194,10261,786,791,872,843,3,1,2,2,2,3,2,2,2,3,2,2,1,3,2,3,3,2,2,2,2,2,3
10252,8602,762,869,826,918,3,1,3,2,3,3,3,2,3,2,3,3,1,2,2,2,3,2,1,1,2,1,3
10260,8559,817.8481077,925,868.4805294,958,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,2,3,2,1
8394,9906,837,819.5939669,907,868.0962077,2,1,1,1,2,2,3,1,3,3,2,1,1,1,1,2,2,3,2,2,1,2,2
8302,10278,771,847,832,929,2,1,1,2,2,2,3,2,2,3,2,1,1,1,1,3,2,3,1,2,2,2,2
8305,8696,790,819.5939669,851,872,2,1,2,2,3,3,2,1,2,3,2,1,1,2,2,2,2,3,1,2,1,2,3
9865,9783,812,782,897,868,1,1,1,2,1,2,2,2,2,3,2,2,1,2,2,2,2,3,2,3,3,1,3
8371,8558,785,809,868.4805294,853,2,1,2,2,3,2,3,2,3,3,2,2,1,2,2,2,2,2,1,1,3,2,2
8560,8661,817.8481077,759,868.4805294,821,2,1,2,2,2,2,2,1,2,3,2,2,1,1,1,2,2,3,2,2,1,2,2
10205,9864,764,857,850,914,2,1,2,2,2,2,3,2,2,3,2,2,1,1,1,2,2,3,1,2,1,3,3
10260,8472,798,819.5939669,876,868.0962077,2,1,3,2,3,3,2,2,2,2,2,3,1,2,2,2,3,2,1,2,3,2,1
10252,8586,862,860,922,906,3,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,3,2,1,1,2,1,2
9879,8654,812,846,871,885,2,1,1,2,1,3,2,2,1,2,1,2,1,3,2,3,3,2,2,2,3,2,1
8668,8658,842,856,890,909,3,1,3,2,3,3,3,2,3,2,3,2,1,2,2,2,3,2,2,2,2,2,3
8559,8659,778,819.5939669,866,868.0962077,2,1,2,2,3,3,2,2,3,2,3,2,1,3,2,3,3,2,2,2,2,2,1
8655,10194,806,808,864,866,2,1,3,2,3,3,2,2,2,2,2,2,1,3,2,2,3,2,2,2,2,2,2
8602,8528,789,770,872,835,3,1,3,2,3,3,2,2,2,2,2,3,1,3,2,3,3,3,2,3,2,3,2
8315,10267,846,798,910,858,1,1,1,1,2,2,3,2,2,3,2,2,1,2,2,2,3,2,2,1,2,2,2
9869,8394,791,819.5939669,876,856,1,1,1,1,2,2,3,2,2,1,2,3,1,2,2,2,2,3,2,3,2,2,1
