"","id","date_match","season","away_team_api_id","home_team_api_id","away_team_goal","home_team_goal","H_overall_rating","A_overall_rating","H_potential","A_potential","H_buildUpPlaySpeed","H_buildUpPlaySpeedClass","H_buildUpPlayDribblingClass","H_buildUpPlayPassing","H_buildUpPlayPassingClass","H_buildUpPlayPositioningClass","H_chanceCreationPassing","H_chanceCreationPassingClass","H_chanceCreationCrossing","H_chanceCreationCrossingClass","H_chanceCreationShooting","H_chanceCreationShootingClass","H_chanceCreationPositioningClass","H_defencePressure","H_defencePressureClass","H_defenceAggression","H_defenceAggressionClass","H_defenceTeamWidth","H_defenceTeamWidthClass","A_buildUpPlaySpeed","A_buildUpPlaySpeedClass","A_buildUpPlayDribblingClass","A_buildUpPlayPassing","A_buildUpPlayPassingClass","A_buildUpPlayPositioningClass","A_chanceCreationPassing","A_chanceCreationPassingClass","A_chanceCreationCrossing","A_chanceCreationCrossingClass","A_chanceCreationShooting","A_chanceCreationShootingClass","A_chanceCreationPositioningClass","A_defencePressure","A_defencePressureClass","A_defenceAggression","A_defenceAggressionClass","A_defenceTeamWidth","A_defenceTeamWidthClass","result"
"23",2714,"2010-08-28","2010/2011",10261,8602,1,1,766,799,829,858,70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",70,"Double",70,"Wide",70,"Fast","Little",60,"Mixed","Organised",65,"Normal",70,"Lots",60,"Normal","Organised",45,"Medium",65,"Press",45,"Normal","draw"
"24",2715,"2010-08-28","2010/2011",9825,8655,2,1,806,886,872,951,55,"Balanced","Little",70,"Long","Organised",60,"Normal",70,"Lots",55,"Normal","Organised",45,"Medium",70,"Double",45,"Normal",66,"Balanced","Little",30,"Short","Free Form",30,"Safe",45,"Normal",35,"Normal","Free Form",30,"Deep",40,"Press",50,"Normal","lose"
"25",2717,"2010-08-28","2010/2011",9879,8483,2,2,742,814,820,883,70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide",60,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",50,"Normal","Organised",40,"Medium",35,"Press",40,"Normal","draw"
"26",2718,"2010-08-28","2010/2011",10194,8455,0,2,906,797,960,846,70,"Fast","Little",60,"Mixed","Free Form",56,"Normal",70,"Lots",70,"Lots","Free Form",30,"Deep",60,"Press",35,"Normal",65,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",35,"Medium",70,"Double",35,"Normal","win"
"27",22279,"2010-08-28","2010/2011",8315,10278,1,0,NA,833,NA,879,40,"Balanced","Little",30,"Short","Organised",50,"Normal",35,"Normal",70,"Lots","Organised",35,"Medium",35,"Press",50,"Normal",60,"Balanced","Little",45,"Mixed","Organised",35,"Normal",70,"Lots",55,"Normal","Organised",30,"Deep",70,"Double",35,"Normal","lose"
"28",22281,"2010-08-28","2010/2011",10267,9864,3,1,770,861,841,897,60,"Balanced","Little",55,"Mixed","Organised",40,"Normal",45,"Normal",70,"Lots","Organised",45,"Medium",65,"Press",45,"Normal",30,"Slow","Little",30,"Short","Free Form",55,"Normal",60,"Normal",70,"Lots","Organised",55,"Medium",60,"Press",60,"Normal","lose"
"29",22283,"2010-08-28","2010/2011",8302,8581,4,1,NA,858,NA,929,30,"Slow","Little",30,"Short","Organised",45,"Normal",40,"Normal",70,"Lots","Organised",30,"Deep",35,"Press",50,"Normal",30,"Slow","Little",30,"Short","Free Form",70,"Risky",60,"Normal",70,"Lots","Free Form",60,"Medium",70,"Double",65,"Normal","lose"
"30",2710,"2010-08-29","2010/2011",8659,8650,0,1,880,773,945,846,50,"Balanced","Little",35,"Mixed","Organised",50,"Normal",60,"Normal",70,"Lots","Organised",40,"Medium",60,"Press",40,"Normal",65,"Balanced","Little",40,"Mixed","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",70,"High",70,"Double",70,"Wide","win"
"31",2711,"2010-08-29","2010/2011",8456,8472,0,1,802,871,888,935,60,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",35,"Medium",70,"Double",35,"Normal",70,"Fast","Little",60,"Mixed","Organised",55,"Normal",70,"Lots",70,"Lots","Organised",45,"Medium",55,"Press",45,"Normal","win"
"32",2713,"2010-08-29","2010/2011",8668,10252,0,1,856,861,914,916,70,"Fast","Little",59,"Mixed","Organised",65,"Normal",70,"Lots",50,"Normal","Free Form",30,"Deep",70,"Double",30,"Narrow",60,"Balanced","Little",65,"Mixed","Organised",60,"Normal",70,"Lots",45,"Normal","Organised",40,"Medium",70,"Double",40,"Normal","win"
"33",2716,"2010-08-29","2010/2011",8658,8559,2,2,NA,844,NA,886,55,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",45,"Normal","Organised",35,"Medium",70,"Double",35,"Normal",70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",70,"Double",70,"Wide","draw"
"34",22280,"2010-08-29","2010/2011",8634,8696,3,0,801,923,858,967,45,"Balanced","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Free Form",45,"Medium",55,"Press",50,"Normal",42,"Balanced","Little",30,"Short","Free Form",65,"Normal",40,"Normal",70,"Lots","Free Form",70,"High",30,"Contain",70,"Wide","lose"
"35",22282,"2010-08-29","2010/2011",8394,9783,0,0,817,797,889,867,30,"Slow","Little",30,"Short","Organised",30,"Safe",45,"Normal",65,"Normal","Organised",35,"Medium",35,"Press",45,"Normal",30,"Slow","Little",30,"Short","Free Form",50,"Normal",35,"Normal",70,"Lots","Organised",40,"Medium",30,"Contain",45,"Normal","draw"
"36",22284,"2010-08-29","2010/2011",8305,8558,1,3,771,821,849,886,55,"Balanced","Little",40,"Mixed","Organised",70,"Risky",55,"Normal",70,"Lots","Organised",70,"High",50,"Press",60,"Normal",30,"Slow","Little",35,"Mixed","Organised",35,"Normal",50,"Normal",70,"Lots","Free Form",40,"Medium",30,"Contain",50,"Normal","win"
"37",22285,"2010-08-29","2010/2011",10205,8560,0,1,762,857,823,910,40,"Balanced","Little",30,"Short","Free Form",50,"Normal",40,"Normal",70,"Lots","Organised",45,"Medium",30,"Contain",35,"Normal",64,"Balanced","Little",30,"Short","Free Form",55,"Normal",35,"Normal",70,"Lots","Free Form",65,"Medium",30,"Contain",70,"Wide","win"
"38",22286,"2010-08-29","2010/2011",9865,8371,0,0,812,782,869,872,35,"Balanced","Little",35,"Mixed","Organised",45,"Normal",65,"Normal",55,"Normal","Free Form",30,"Deep",65,"Press",55,"Normal",65,"Balanced","Little",45,"Mixed","Organised",45,"Normal",45,"Normal",70,"Lots","Organised",70,"High",65,"Press",30,"Narrow","draw"
"39",22287,"2010-08-29","2010/2011",8633,8661,0,0,789,909,851,967,40,"Balanced","Little",40,"Mixed","Organised",50,"Normal",40,"Normal",50,"Normal","Free Form",45,"Medium",40,"Press",45,"Normal",55,"Balanced","Little",30,"Short","Free Form",70,"Risky",60,"Normal",70,"Lots","Free Form",65,"Medium",40,"Press",65,"Normal","draw"
"40",22278,"2010-08-30","2010/2011",9869,9906,0,4,839,NA,912,852,64,"Balanced","Little",30,"Short","Free Form",65,"Normal",50,"Normal",70,"Lots","Free Form",70,"High",34,"Press",55,"Normal",70,"Fast","Little",55,"Mixed","Organised",65,"Normal",50,"Normal",70,"Lots","Organised",70,"High",70,"Double",55,"Normal","win"
"41",2809,"2010-09-11","2010/2011",8559,9825,1,4,857,NA,948,NA,66,"Balanced","Little",30,"Short","Free Form",30,"Safe",45,"Normal",35,"Normal","Free Form",30,"Deep",40,"Press",50,"Normal",55,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",45,"Normal","Organised",35,"Medium",70,"Double",35,"Normal","win"
"42",2810,"2010-09-11","2010/2011",8455,8654,3,1,819,911,890,958,58,"Balanced","Little",30,"Short","Organised",31,"Safe",70,"Lots",50,"Normal","Organised",30,"Deep",70,"Double",30,"Narrow",70,"Fast","Little",60,"Mixed","Free Form",56,"Normal",70,"Lots",70,"Lots","Free Form",30,"Deep",60,"Press",35,"Normal","lose"
"43",2811,"2010-09-11","2010/2011",10260,8668,3,3,850,905,907,942,60,"Balanced","Little",65,"Mixed","Organised",60,"Normal",70,"Lots",45,"Normal","Organised",40,"Medium",70,"Double",40,"Normal",70,"Fast","Little",45,"Mixed","Organised",45,"Normal",70,"Lots",65,"Normal","Free Form",40,"Medium",50,"Press",40,"Normal","draw"
"44",2812,"2010-09-11","2010/2011",8483,10261,2,0,792,717,861,797,70,"Fast","Little",60,"Mixed","Organised",65,"Normal",70,"Lots",60,"Normal","Organised",45,"Medium",65,"Press",45,"Normal",70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",65,"Normal","Organised",70,"High",70,"Double",70,"Wide","lose"
"45",2813,"2010-09-11","2010/2011",8655,8456,1,1,872,809,943,867,70,"Fast","Little",60,"Mixed","Organised",55,"Normal",70,"Lots",70,"Lots","Organised",45,"Medium",55,"Press",45,"Normal",55,"Balanced","Little",70,"Long","Organised",60,"Normal",70,"Lots",55,"Normal","Organised",45,"Medium",70,"Double",45,"Normal","draw"
"46",2814,"2010-09-11","2010/2011",8602,9879,1,2,834,772,886,837,60,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",50,"Normal","Organised",40,"Medium",35,"Press",40,"Normal",70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",70,"Lots","Organised",70,"High",70,"Double",70,"Wide","win"
"47",2816,"2010-09-11","2010/2011",8586,8659,1,1,787,881,850,941,65,"Balanced","Little",40,"Mixed","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",70,"High",70,"Double",70,"Wide",70,"Fast","Little",50,"Mixed","Organised",50,"Normal",65,"Normal",50,"Normal","Organised",50,"Medium",50,"Press",50,"Normal","draw"
"48",2818,"2010-09-11","2010/2011",8472,8528,1,1,781,822,859,900,70,"Fast","Little",70,"Long","Organised",70,"Risky",70,"Lots",50,"Normal","Organised",35,"Medium",70,"Double",35,"Normal",60,"Balanced","Little",70,"Long","Organised",70,"Risky",70,"Lots",55,"Normal","Organised",35,"Medium",70,"Double",35,"Normal","draw"
"49",22389,"2010-09-11","2010/2011",9906,8315,2,1,825,845,870,902,60,"Balanced","Little",45,"Mixed","Organised",35,"Normal",70,"Lots",55,"Normal","Organised",30,"Deep",70,"Double",35,"Normal",64,"Balanced","Little",30,"Short","Free Form",65,"Normal",50,"Normal",70,"Lots","Free Form",70,"High",34,"Press",55,"Normal","lose"
"50",22390,"2010-09-11","2010/2011",10278,8634,2,0,894,783,964,827,42,"Balanced","Little",30,"Short","Free Form",65,"Normal",40,"Normal",70,"Lots","Free Form",70,"High",30,"Contain",70,"Wide",40,"Balanced","Little",30,"Short","Organised",50,"Normal",35,"Normal",70,"Lots","Organised",35,"Medium",35,"Press",50,"Normal","lose"
"51",22391,"2010-09-11","2010/2011",8696,10267,0,1,847,814,906,865,30,"Slow","Little",30,"Short","Free Form",55,"Normal",60,"Normal",70,"Lots","Organised",55,"Medium",60,"Press",60,"Normal",45,"Balanced","Little",55,"Mixed","Organised",70,"Risky",70,"Lots",65,"Normal","Free Form",45,"Medium",55,"Press",50,"Normal","win"
