team.home,away.team,H_buildUpPlaySpeedClass,H_buildUpPlayDribblingClass,H_buildUpPlayPassingClass,H_buildUpPlayPositioningClass,H_chanceCreationPassingClass,H_chanceCreationCrossingClass,H_chanceCreationShootingClass,H_chanceCreationPositioningClass,H_defencePressureClass,H_defenceAggressionClass,H_defenceTeamWidthClass,A_buildUpPlaySpeedClass,A_buildUpPlayDribblingClass,A_buildUpPlayPassingClass,A_buildUpPlayPositioningClass,A_chanceCreationPassingClass,A_chanceCreationCrossingClass,A_chanceCreationShootingClass,A_chanceCreationPositioningClass,A_defencePressureClass,A_defenceAggressionClass,A_defenceTeamWidthClass,result
1,17,1,1,3,1,3,3,3,1,1,3,2,2,1,2,2,1,2,2,2,3,3,2,1
6,21,1,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,3,2,3,2,2,1
14,26,1,1,2,2,2,2,3,2,2,2,3,1,1,1,2,2,2,3,2,3,2,2,3
18,28,2,1,2,2,1,2,3,1,3,3,2,2,1,2,2,1,3,3,2,3,3,2,2
31,32,1,1,3,2,3,2,3,2,1,2,1,2,1,1,2,2,2,3,2,3,2,2,2
33,4,2,1,1,2,2,2,2,2,2,2,3,1,1,1,2,1,2,3,2,3,2,2,1
2,3,2,1,2,2,1,2,3,1,1,2,1,2,1,1,2,2,2,2,2,2,2,3,2
8,16,2,1,2,2,2,2,2,2,3,2,3,1,1,2,2,1,3,2,2,3,3,2,3
10,25,2,1,2,1,1,2,2,1,1,3,2,1,1,1,2,2,2,3,2,3,2,2,2
12,13,1,1,2,2,1,2,3,2,3,2,2,1,1,1,2,2,2,3,2,3,3,2,2
3,8,2,1,1,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,3,2,3,2
17,2,2,1,2,2,1,2,2,2,3,3,2,2,1,2,2,1,2,3,1,1,2,1,2
21,33,2,1,1,2,2,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,2
25,12,1,1,1,2,2,2,3,2,3,2,2,1,1,2,2,1,2,3,2,3,2,2,1
